广东,#genre#
蛇口综合,http://218.17.99.211:5080/hls/ttsw6ccn.m3u8
深圳电视剧,http://player.ioioz.com/18/tv.php?tv=gdsztv&id=gdszdsj#http://hnhbxww.com/live.php?http://mlive1.91kds.cn/b9/gdsztv.m3u8?id=gdszdsj
深圳财经,http://player.ioioz.com/18/tv.php?tv=gdsztv&id=gdszcj#http://hnhbxww.com/live.php?http://mlive1.91kds.cn/b9/gdsztv.m3u8?id=gdszcj
深圳娱乐,http://player.ioioz.com/18/tv.php?tv=gdsztv&id=gdszyl#http://hnhbxww.com/live.php?http://mlive1.91kds.cn/b9/gdsztv.m3u8?id=gdszyl
深圳少儿,http://player.ioioz.com/18/tv.php?tv=gdsztv&id=gdszse#http://hnhbxww.com/live.php?http://mlive1.91kds.cn/b9/gdsztv.m3u8?id=gdszse
深圳公共,http://player.ioioz.com/18/tv.php?tv=gdsztv&id=gdszgg#http://hnhbxww.com/live.php?http://mlive1.91kds.cn/b9/gdsztv.m3u8?id=gdszgg
深圳移动,http://player.ioioz.com/18/tv.php?tv=gdsztv&id=gdszyd#http://hnhbxww.com/live.php?http://mlive1.91kds.cn/b9/gdsztv.m3u8?id=gdszyd
深圳国际,http://player.ioioz.com/18/tv.php?tv=gdsztv&id=gdszgj#http://hnhbxww.com/live.php?http://mlive1.91kds.cn/b9/gdsztv.m3u8?id=gdszgj
深圳都市,http://player.ioioz.com/18/tv.php?tv=gdsztv&id=gdszds
深圳电视剧,http://player.ioioz.com/18/tv.php?tv=gdsztv&id=gdszdsj#http://hnhbxww.com/live.php?http://mlive1.91kds.cn/b9/gdsztv.m3u8?id=gdszdsj

深圳龙岗,http://liveplay.sznews.com/66_norecord_live/357.m3u8
深圳东部,http://liveplay.sznews.com/66_norecord_live/343.m3u8 
深圳众创TV,http://liveplay.sznews.com/66_norecord_live/341.m3u8
惠州综合,http://livehuiz.sobeycache.com/live/zb01.m3u8?auth_key=1653235853-0-0-5b0569cda5ad6efca5e6e383a759df6e#http://dslive.grtn.cn/hzzh/sd/live.m3u8
